igbo_word,english_translation,pronunciation_guide
ọkpụ̀rụ̀kpụ̀,solid; a firm and stable material or object,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63b6f50173c3e7b42622e55d.mp3
ṅàgharị,shake (a container of liquid) around;  to mix well,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6447be14e081cd6ce75c5d0e.mp3
àwọ̀rọ̀,"scale; a dry skin which mostly peels off, especially on reptiles",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63d56ad27f783e15cb1081ad.mp3
dozi okwu,settle a case,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/643a7681df7e6361397b4097.mp3
ùweelū,shirt; a cloth worn on the upper part of the body,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63414ab41d1b5a5b7adcbd0f.mp3
èberebe,"slice; a slim, broad, cut from a larger portion",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/635857e4c5239ef0ce68c769.mp3
ubè,spear; a pole weapon with a sharp point,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8b51.webm
ọtọ,stand; a position whereby a person or object has its base on the ground and top in the air or in a height,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633c49077979cb55caaed473.mp3
ǹkumè,stone; a boulder; rock,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b829a.webm
kụ ōgēnè,strike a metal gong,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64295391a537142a2bb2a16d.mp3
kwe ụta,string a bow,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6331aabd69c17efd9b1437fc.mp3
ochenkwago,table; a furniture used to keep books when writting,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62fe43e00d1a4d05cfcc08b2.mp3
nsère,"taking a snap shot, taking photograph",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6340305d38a9de051e0e3342.mp3
nọọ̀rị,there; a location far away or distant from you,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6355334d2f16f2810d2486e1.mp3
agbọ,vomit; a forceful discharge of stomach content,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6eaa.mp3
Izrèl,Israel [a country in the middle east],https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6357a69545ec023d685cb29c.mp3
-ta,towards a 1st person or 2nd person in a sentence,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8a6f.webm
azị̀za,answer; a thing that comes a as a reaction to a question or situation,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/630bfa6f0242a9fefd78bf6e.mp3
ǹchu,"bucket; a flat base wide mouth cylindrical container, with an arc handle, used for putting or fetching water",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64c05721186f2a8f906ff20b.mp3
ahịa,market; a place were things are sold and bought;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e2b.mp3
ìzì,cancer; a medical condition that arises from the abnormal division of cells,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/641243ebfa9b3d09c98c5816.mp3
eririududō,cobweb; a web that was spun by a spider,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63b6a5674326e6f4ce5db418.mp3
jedebe,"come to a stop, stop walking; end a journey; termination point",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63ca46d5e8b91443b7851df3.mp3
begide,cry for a long time,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63dda2c490b4e2dcab6dd37e.mp3
ǹgwuàlà,digger; a tool or machine for digging,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/644379caf12d022c1f72012b.mp3
dọka akwụkwọ,dismiss a case,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6420e8b21e1f2a07524c218f.mp3
ọnụnụụlọ̀,edge of a building,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63f69a7fd135d0d6a32ccb2d.mp3
Ihuọma,favour; a good omen,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8815.webm
mkpụrụēdēmēdē,"letter; a symbol used to represent a sound, in a language, when writing; any of the symbols that make up an alphabet",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62724e1cfd211c51e364ca5b.mp3
Òjìọnụ̄,name of a masquerade,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64f1fb397efc4d7848249e93.mp3
Achị,"name of a town in Oji River, Enugu State",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e5cb9842b322a6bd4d1413.mp3
akaùwe,part of a garment that wholly or partly covers a person's arm; sleeve,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/637822a962195456b1ef1def.mp3
fè nrù,perform a ritual; perform a rite,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6328668ae1fd30352a34a084.mp3
ebemgbabà,refuge; a place of safety or security,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6345b695c59091cc9d86b17e.mp3
deèdè,"senior; a term of deference to elders, especially male",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b86c2.webm
